sample,host,viruses,count_viruses
104326-108-008,solanum lycopersicum,"['Cucumber mosaic virus', 'Siphoviridae sp.', 'Plasmopara viticola lesion associated orfanplasmovirus 5', 'Tomato mosaic virus', 'Erysiphe necator associated totivirus 8', 'Mitovirus sp.', 'Herelleviridae sp.', 'Myoviridae sp.', 'Tomato mottle mosaic virus', 'Bacopa chlorosis virus', 'Sclerotinia sclerotiorum umbra-like virus 3', 'Broad bean wilt virus 1', 'Alternanthera mosaic virus']",13
104326-108-009,solanum lycopersicum,"['Siphoviridae sp.', 'La Jolla virus', 'Tomato mosaic virus', 'Lactobacillus virus Lenus', 'Erysiphe necator associated totivirus 8', 'Lactobacillus virus LpeD', 'Mitovirus sp.', 'Lactobacillus virus 3-521', 'Melbourne fly narnavirus 1', 'Lactobacillus virus 521B', 'Tomato mottle mosaic virus', 'Myoviridae sp.', 'Lactobacillus virus phiJL1']",13
104326-108-010,solanum lycopersicum,"['Tomato mottle mosaic virus', 'Alternanthera mosaic virus', 'Tomato mosaic virus']",3
104326-108-011,solanum lycopersicum,"['Tomato mottle mosaic virus', 'Tomato mosaic virus']",2
104326-108-012,solanum lycopersicum,"['Siphoviridae sp.', 'Tomato mosaic virus', 'Herelleviridae sp.', 'Lactobacillus virus 521B', 'Tomato mottle mosaic virus', 'Myoviridae sp.', 'Alternanthera mosaic virus']",7
104326-108-013,capsicum annuum,"['Tomato mottle mosaic virus', 'Tomato mosaic virus']",2
104326-108-014,solanum lycopersicum,"['Siphoviridae sp.', 'La Jolla virus', 'Tomato mosaic virus', 'Lactobacillus virus Lenus', 'Lactobacillus virus LpeD', 'Lactobacillus virus 3-521', 'Melbourne fly narnavirus 1', 'Lactobacillus virus 521B', 'Tomato mottle mosaic virus', 'Myoviridae sp.', 'Lactobacillus virus phiJL1', 'Broad bean wilt virus 1', 'Alternanthera mosaic virus']",13
104326-109-002,solanum lycopersicum,"['Tomato mottle mosaic virus', 'Tomato mosaic virus']",2
104326-109-003,solanum lycopersicum,"['Alternanthera mosaic virus', 'Tomato mottle mosaic virus']",2
104326-109-004,solanum lycopersicum,"['Tomato mottle mosaic virus', 'Alternanthera mosaic virus']",2
104326-109-005,capsicum annuum,['Tomato mottle mosaic virus'],1
104326-109-006,solanum lycopersicum,"['Tomato mottle mosaic virus', 'Alternanthera mosaic virus', 'Tomato mosaic virus']",3
104326-113-002,begonia,"['Peanut chlorotic streak virus', 'Impatiens necrotic spot orthotospovirus', 'Cauliflower mosaic virus']",3
104326-113-003,aeschynanthus,"['Sweet potato collusive virus', 'Impatiens necrotic spot orthotospovirus', 'Cauliflower mosaic virus']",3
104326-113-005,capsicum,"['Maize associated partiti-like virus', 'Epiphyllum virus 4']",2
104326-113-006,solanum,['Peanut chlorotic streak virus'],1
104326-113-007,capsicum,"['Sweet potato collusive virus', 'Maize associated partiti-like virus', 'Epiphyllum virus 4']",3
104326-113-008,capsicum,['Maize associated partiti-like virus'],1
104326-113-009,solanum lycopersicum,['Pepino mosaic virus'],1
104326-113-010,unknown,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-113-011,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-113-012,unknown,['Tomato brown rugose fruit virus'],1
104326-113-013,solanum lycopersicum,['Tomato brown rugose fruit virus'],1
104326-113-014,solanum lycopersicum,['Tomato brown rugose fruit virus'],1
104326-117-003,solanum gourlayi,['Siphoviridae sp.'],1
104326-117-004,solanum,['Siphoviridae sp.'],1
104326-118-002,unknown,"['Bell pepper alphaendornavirus', 'Pepper cryptic virus 2']",2
104326-118-003,unknown,"['Insect narna-like virus 1', 'Bell pepper alphaendornavirus', 'Pepper cryptic virus 2']",3
104326-118-004,unknown,"['Insect narna-like virus 1', 'Bell pepper alphaendornavirus', 'Pepper cryptic virus 2']",3
104326-118-005,unknown,"['Southern tomato virus', 'Bell pepper alphaendornavirus', 'Pepper cryptic virus 2']",3
104326-118-006,unknown,['Strawberry latent ringspot virus'],1
104326-118-007,unknown,['Strawberry latent ringspot virus'],1
104326-118-008,unknown,['Strawberry latent ringspot virus'],1
104326-118-009,solanum lycopersicum,['Pepino mosaic virus'],1
104326-118-010,solanum lycopersicum,"['Pepino mosaic virus', 'Southern tomato virus']",2
104326-119-002,capsicum annuum,"['Bell pepper alphaendornavirus', 'Potato virus Y']",2
104326-119-003,capsicum annuum,"['Bell pepper alphaendornavirus', 'Potato virus Y']",2
104326-119-006,solanum tuberosum,['Potato virus Y'],1
104326-119-007,solanum lycopersicum,['Pepino mosaic virus'],1
104326-119-008,unknown,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-119-009,unknown,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-122-002,serissa,['Strawberry vein banding virus'],1
104326-122-004,phalaenopsis,"['Cacao Bacilliform SriLanka Virus', 'Citrus yellow mosaic virus', 'Strawberry vein banding virus']",3
104326-122-005,passiflora,"['Cacao Bacilliform SriLanka Virus', 'Citrus yellow mosaic virus']",2
104326-122-006,solanum lycopersicum,['Pepino mosaic virus'],1
104326-122-007,unknown,"['Pepino mosaic virus', 'Southern tomato virus', 'Tomato brown rugose fruit virus']",3
104326-122-008,unknown,"['Pepino mosaic virus', 'Southern tomato virus', 'Tomato brown rugose fruit virus']",3
104326-122-009,unknown,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-123-002,schefflera,"['Ivy ringspot-associated virus', 'Cacao swollen shoot Ghana R virus']",2
104326-123-003,schefflera,"['Ivy ringspot-associated virus', 'Cacao swollen shoot Ghana R virus']",2
104326-123-004,solanum aethiopicum,['Petunia vein clearing virus'],1
104326-123-005,solanum aethiopicum,['Petunia vein clearing virus'],1
104326-124-002,capsicum,['Maize associated partiti-like virus'],1
104326-124-003,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-124-005,solanum lycopersicum,['Pepino mosaic virus'],1
104326-124-010,lavatera,"['Cotton leaf curl Gezira virus', 'Plasmopara viticola lesion associated mycobunyavirales-like virus 4', 'Cotton leaf curl Gezira betasatellite', 'Okra leaf curl betasatellite']",4
104326-124-011,lavatera barnsley,"['Sweet potato collusive virus', 'Podoviridae sp.', 'Cotton leaf curl Gezira virus']",3
104326-124-012,lavatera barnsley,"['Cotton leaf curl Gezira alphasatellite', 'Cotton leaf curl Gezira virus']",2
104326-124-013,lavatera,['Cotton leaf curl Gezira virus'],1
104326-124-014,lavatera,['Cotton leaf curl Gezira virus'],1
104326-124-015,lavatera,"['Cotton leaf curl Gezira betasatellite', 'Cotton leaf curl Gezira virus']",2
104326-124-017,lavatera,['Cotton leaf curl Gezira virus'],1
104326-124-018,lavatera,"['Sweet potato collusive virus', 'Cotton leaf curl Gezira virus']",2
104326-124-019,lavatera,['Cotton leaf curl Gezira virus'],1
104326-124-020,lavatera,"['Okra leaf curl betasatellite', 'Cotton leaf curl Gezira virus']",2
104326-124-021,lavatera,['Cotton leaf curl Gezira virus'],1
104326-124-022,lavatera,"['Maize associated partiti-like virus', 'Siphoviridae sp.', 'Podoviridae sp.', 'Pseudomonas virus ZC03', 'Cotton leaf curl Gezira betasatellite', 'Cotton leaf curl Gezira virus']",6
104326-124-023,lavatera,"['Siphoviridae sp.', 'Erysiphe necator associated narnavirus 33', 'Podoviridae sp.', 'Plasmopara viticola lesion associated ourmia-like virus 77', 'Pepino mosaic virus', 'Caudovirales sp.', 'Cotton leaf curl Gezira betasatellite', 'Prokaryotic dsDNA virus sp.', 'Cotton leaf curl Gezira virus', 'Tomato brown rugose fruit virus']",10
104326-124-024,lavatera,"['Cotton leaf curl Gezira alphasatellite', 'Siphoviridae sp.', 'Erysiphe necator associated narnavirus 33', 'Caudovirales sp.', 'Plasmopara viticola lesion associated mycobunyavirales-like virus 4', 'Cotton leaf curl Gezira virus', 'Plasmopara viticola lesion associated ourmia-like virus 77', 'Pseudomonas virus ZC03', 'Cotton leaf curl Gezira betasatellite', 'Prokaryotic dsDNA virus sp.', 'Podoviridae sp.']",11
104326-124-025,lavatera,['Okra leaf curl betasatellite'],1
104326-125-002,unknown,"['Cotton leaf curl Gezira betasatellite', 'Cotton leaf curl Gezira virus']",2
104326-125-003,lavatera barnsley,"['Sweet potato collusive virus', 'Dahlia common mosaic virus']",2
104326-125-004,lavatera barnsley,"['Sweet potato collusive virus', 'Cotton leaf curl Gezira betasatellite']",2
104326-125-005,lavatera,"['Cotton leaf curl Gezira virus', 'Dahlia common mosaic virus']",2
104326-125-006,lavatera,['Cotton leaf curl Gezira betasatellite'],1
104326-125-007,lavatera,"['Okra leaf curl betasatellite', 'Strawberry vein banding virus', 'Sweet potato collusive virus', 'Cotton leaf curl Gezira betasatellite', 'Cotton leaf curl Gezira virus']",5
104326-125-008,lavatera,"['Dahlia common mosaic virus', 'Cotton leaf curl Gezira betasatellite', 'Cotton leaf curl Gezira virus', 'Strawberry vein banding virus']",4
104326-125-009,lavatera,"['Cotton leaf curl Gezira alphasatellite', 'Cotton leaf curl Gezira betasatellite', 'Cotton leaf curl Gezira virus']",3
104326-125-010,lavatera,"['Cotton leaf curl Gezira alphasatellite', 'Cotton leaf curl Gezira betasatellite', 'Cotton leaf curl Gezira virus']",3
104326-125-011,lavatera,"['Cotton leaf curl Gezira betasatellite', 'Cotton leaf curl Gezira virus']",2
104326-125-012,lavatera,['Cotton leaf curl Gezira virus'],1
104326-125-013,lavatera,"['Sweet potato collusive virus', 'Cotton leaf curl Gezira virus']",2
104326-125-014,lavatera,"['Sweet potato collusive virus', 'Cotton leaf curl Gezira betasatellite', 'Cotton leaf curl Gezira virus', 'Dahlia common mosaic virus']",4
104326-125-015,lavatera,"['Cotton leaf curl Gezira alphasatellite', 'Cotton leaf curl Gezira betasatellite', 'Dahlia common mosaic virus']",3
104326-125-016,lavatera,"['Cotton leaf curl Gezira alphasatellite', 'Cotton leaf curl Gezira betasatellite', 'Cotton leaf curl Gezira virus', 'Dahlia common mosaic virus']",4
104326-125-019,lavatera barnsley,['Cotton leaf curl Gezira virus'],1
104326-125-020,lavatera barnsley,"['Serratia virus Parlo', 'Cotton leaf curl Gezira betasatellite']",2
104326-125-021,lavatera,['Cotton leaf curl Gezira virus'],1
104326-125-023,lavatera,"['Okra leaf curl betasatellite', 'Human gammaherpesvirus 4', 'Burkholderia virus Bcepmigl', 'Serratia virus Parlo', 'Cotton leaf curl Gezira virus']",5
104326-125-024,lavatera,"['Human alphaherpesvirus 2', 'Macacine betaherpesvirus 3']",2
104326-125-025,lavatera,"['Cotton leaf curl Gezira alphasatellite', 'Cotton leaf curl Gezira betasatellite', 'Cotton leaf curl Gezira virus', 'Dahlia common mosaic virus']",4
104326-125-026,lavatera,"['Cotton leaf curl Gezira alphasatellite', 'Cotton leaf curl Gezira betasatellite', 'Cotton leaf curl Gezira virus', 'Dahlia common mosaic virus']",4
104326-125-027,lavatera,"['Human gammaherpesvirus 4', 'Cotton leaf curl Gezira alphasatellite', 'Cotton leaf curl Gezira betasatellite', 'Cotton leaf curl Gezira virus']",4
104326-125-028,lavatera,"['Cotton leaf curl Gezira alphasatellite', 'Strawberry vein banding virus', 'Macacine betaherpesvirus 3', 'Burkholderia virus Bcepmigl', 'Serratia virus Parlo', 'Cotton leaf curl Gezira virus']",6
104326-125-029,lavatera,"['Sweet potato collusive virus', 'Burkholderia virus Bcepmigl', 'Human gammaherpesvirus 4', 'Serratia virus Parlo', 'Burkholderia virus Bcep22', 'Cotton leaf curl Gezira virus']",6
104326-125-030,lavatera,"['Strawberry vein banding virus', 'Serratia virus Parlo', 'Burkholderia virus Bcep22', 'Cotton leaf curl Gezira betasatellite', 'Cotton leaf curl Gezira virus']",5
104326-125-031,lavatera,"['Serratia virus Parlo', 'Human alphaherpesvirus 2', 'Cotton leaf curl Gezira betasatellite']",3
104326-125-032,lavatera,"['Cotton leaf curl Gezira alphasatellite', 'Serratia virus Parlo', 'Burkholderia virus Bcep22', 'Cotton leaf curl Gezira betasatellite', 'Cotton leaf curl Gezira virus']",5
104326-125-033,lavatera,"['Serratia virus Parlo', 'Burkholderia virus Bcep22']",2
104326-128-002,capsicum annuum,"['Tomato brown rugose fruit virus', 'Bell pepper alphaendornavirus', 'Potato virus Y']",3
104326-128-003,capsicum annuum,"['Tomato brown rugose fruit virus', 'Tomato chocolate virus', 'Bell pepper alphaendornavirus', 'Potato virus Y']",4
104326-128-006,solanum tuberosum,['Potato virus Y'],1
104326-128-007,solanum lycopersicum,"['Pepino mosaic virus', 'Southern tomato virus']",2
104326-128-008,unknown,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-128-009,unknown,"['Tomato brown rugose fruit virus', 'Tomato chocolate virus', 'Pepino mosaic virus', 'Potato virus Y']",4
104326-128-016,unknown,"['Pepino mosaic virus', 'Southern tomato virus', 'Tomato brown rugose fruit virus']",3
104326-128-017,unknown,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-128-018,unknown,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-133-004,quitoense,['Poinsettia mosaic virus'],1
104326-133-005,capsicum,['Insect narna-like virus 1'],1
104326-133-007,petunia en calibrachoa,['Petunia vein clearing virus'],1
104326-133-008,petunia en calibrachoa,['Petunia vein clearing virus'],1
104326-133-009,capsicum annuum,"['Bell pepper alphaendornavirus', 'Tomato spotted wilt orthotospovirus']",2
104326-133-010,capsicum annuum,"['Poinsettia mosaic virus', 'Insect narna-like virus 1', 'Bell pepper alphaendornavirus', 'Tomato spotted wilt orthotospovirus']",4
104326-134-005,vitis vinifera,"['Grapevine leafroll-associated virus 3', 'Totiviridae sp.', 'Erysiphe necator mitovirus 3', 'Erysiphe necator mitovirus 1', 'Grapevine rupestris stem pitting-associated virus']",5
104326-134-006,vitis vinifera,"['Plasmopara viticola lesion associated orfanplasmovirus 5', 'Grapevine leafroll-associated virus 3', 'Totiviridae sp.', 'Moriarty virus', 'Grapevine yellow speckle viroid 2', 'Erysiphe necator mitovirus 1', 'Erysiphe necator mitovirus 3', 'Hop stunt viroid', 'Grapevine fleck virus', 'Grapevine rupestris stem pitting-associated virus']",10
104326-134-007,vitis vinifera,"['Plasmopara viticola lesion associated orfanplasmovirus 5', 'Moriarty virus', 'Grapevine yellow speckle viroid 2', 'Erysiphe necator mitovirus 1', 'Erysiphe necator mitovirus 3', 'Hop stunt viroid', 'Grapevine fleck virus', 'Grapevine rupestris stem pitting-associated virus']",8
104326-136-004,solanum betaceum,"['Siphoviridae sp.', 'Cauliflower mosaic virus', 'Alfalfa mosaic virus', 'uncultured virus', 'Podoviridae sp.']",5
104326-136-005,tulipa,"['Cucumber mosaic virus', 'Hardenbergia virus A', 'Alfalfa mosaic virus', 'Myoviridae sp.', 'uncultured virus']",5
104326-136-006,tulipa,"['Cucumber mosaic virus', 'Clover yellow mosaic virus', 'Hardenbergia virus A', 'Siphoviridae sp.']",4
104326-136-007,tulipa,"['Clover yellow mosaic virus', 'uncultured virus']",2
104326-136-008,hippeastrum,"['Clover yellow mosaic virus', 'Siphoviridae sp.', 'Myoviridae sp.', 'Podoviridae sp.']",4
104326-136-009,aegopodium,"['Bean yellow mosaic virus', 'Alfalfa mosaic virus', 'Cauliflower mosaic virus']",3
104326-136-010,vicia faba,"['Bean yellow mosaic virus', 'Alfalfa mosaic virus']",2
104326-137-002,tropaeolum tuberosum,"['Mashua virus Y', 'Sunflower ring blotch virus', 'Chickpea yellow mosaic virus', 'Potato virus Y', 'Changjiang tombus-like virus 3', 'Groundnut rosette virus', 'Potato leafroll virus']",7
104326-137-003,tropaeolum tuberosum,"['Mashua virus Y', 'Sunflower ring blotch virus', 'Chickpea yellow mosaic virus', 'Potato virus Y', 'Changjiang tombus-like virus 3', 'Groundnut rosette virus', 'Potato leafroll virus']",7
104326-137-006,ipomoae batatas bellevue,['Sweet potato chlorotic stunt virus'],1
104326-137-007,ipomoae batatas bellevue,['Sweet potato chlorotic stunt virus'],1
104326-137-008,ipomoae batatas bellevue,"['Sweet potato chlorotic stunt virus', 'Sweet potato badnavirus B']",2
104326-137-009,ipomoae batatas orleans,['Sweet potato badnavirus B'],1
104326-137-010,ipomoae batatas orleans,"['Citrus yellow mosaic virus', 'Sweet potato badnavirus B']",2
104326-137-012,lysimachia,['Citrus yellow mosaic virus'],1
104326-140-001,phaseolus,['Bean yellow mosaic virus'],1
104326-140-002,capsicum annuum,['Bell pepper alphaendornavirus'],1
104326-140-003,capsicum annuum,"['Insect narna-like virus 1', 'Bell pepper alphaendornavirus']",2
104326-140-004,solanum lycopersicum,['Pepino mosaic virus'],1
104326-140-008,solanum lycopersicum,['Pepino mosaic virus'],1
104326-140-009,capsicum annuum,"['Bean yellow mosaic virus', 'Insect narna-like virus 1', 'Bell pepper alphaendornavirus']",3
104326-142-003,capsicum annuum,"['Insect narna-like virus 1', 'Bell pepper alphaendornavirus']",2
104326-142-004,solanum lycopersicum,['Pepino mosaic virus'],1
104326-142-005,solanum tuberosum,"['Potato virus M', 'Potato virus S']",2
104326-142-008,calibrachoa petchoa petunia,"['Petunia vein clearing virus', 'Duamitovirus peex1']",2
104326-142-009,petunia,"['Petunia vein clearing virus', 'Duamitovirus peex1']",2
104326-142-010,solanum tuberosum,"['Potato virus M', 'Potato virus S']",2
104326-142-011,solanum lycopersicum,['Pepino mosaic virus'],1
104326-142-012,solanum lycopersicum,"['Tomato brown rugose fruit virus', 'Alternanthera mosaic virus', 'Southern tomato virus', 'Bacopa chlorosis virus']",4
104326-142-013,solanum lycopersicum,"['Tomato brown rugose fruit virus', 'Alternanthera mosaic virus', 'Southern tomato virus', 'Bacopa chlorosis virus']",4
104326-142-014,capsicum annuum,"['Potato virus M', 'Insect narna-like virus 1', 'Bell pepper alphaendornavirus', 'Tomato brown rugose fruit virus']",4
104326-142-015,solanum lycopersicum,"['Tomato brown rugose fruit virus', 'Alternanthera mosaic virus', 'Southern tomato virus', 'Bacopa chlorosis virus']",4
104326-142-016,solanum lycopersicum,"['Pepino mosaic virus', 'Southern tomato virus', 'Tomato brown rugose fruit virus']",3
104326-143-002,ipomaea batatas,"['Sweet potato virus G', 'Sweet potato chlorotic stunt virus']",2
104326-143-003,ipomaea batatas,"['Sweet potato virus G', 'Sweet potato chlorotic stunt virus']",2
104326-143-006,ipomaea batatas,['Sweet potato badnavirus B'],1
104326-143-007,ipomaea batatas,"['Siphoviridae sp.', 'Sweet potato chlorotic stunt virus']",2
104326-143-008,ipomaea batatas,['Siphoviridae sp.'],1
104326-143-009,ipomaea batatas,"['Sweet potato badnavirus B', 'Sweet potato virus G', 'Sweet potato chlorotic stunt virus']",3
104326-143-013,capsicum,"['Insect narna-like virus 1', 'Bell pepper alphaendornavirus']",2
104326-143-014,capsicum,"['Insect narna-like virus 1', 'Bell pepper alphaendornavirus']",2
104326-144-005,vitis vinifera,"['Grapevine leafroll-associated virus 3', 'Erysiphe necator associated narnavirus 52', 'Totiviridae sp.', 'Plasmopara viticola lesion associated mitovirus 20', 'Grapevine virus A', 'Erysiphe necator mitovirus 1', 'Red clover powdery mildew-associated totivirus 9', 'Sclerotinia sclerotiorum narnavirus 2', 'Plasmopara viticola lesion-associated ormycovirus 2', 'Grapevine rupestris stem pitting-associated virus']",10
104326-144-006,vitis vinifera,"['Grapevine leafroll-associated virus 3', 'Erysiphe necator associated narnavirus 52', 'Totiviridae sp.', 'Plasmopara viticola lesion associated mitovirus 20', 'Erysiphe necator mitovirus 1', 'Grapevine virus A', 'Red clover powdery mildew-associated totivirus 9', 'Sclerotinia sclerotiorum narnavirus 2', 'Plasmopara viticola lesion-associated ormycovirus 2', 'Grapevine rupestris stem pitting-associated virus']",10
104326-144-007,phaseolus vulgaris,['Phaseolus vulgaris alphaendornavirus 1'],1
104326-144-008,phaseolus vulgaris,['Phaseolus vulgaris alphaendornavirus 1'],1
104326-147-002,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-147-003,solanum lycopersicum,"['Alternanthera mosaic virus', 'Southern tomato virus', 'Tomato brown rugose fruit virus']",3
104326-147-004,solanum lycopersicum,"['Alternanthera mosaic virus', 'Southern tomato virus', 'Tomato brown rugose fruit virus']",3
104326-147-005,solanum lycopersicum,"['Myoviridae sp.', 'Siphoviridae sp.', 'Southern tomato virus', 'Pepino mosaic virus']",4
104326-147-006,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-147-007,ficus,"['Pahexavirus wizzo', 'Pahexavirus pacnes201215', 'Siphoviridae sp.']",3
104326-147-008,calibrachoa petchoa petunia,"['Siphoviridae sp.', 'Myoviridae sp.', 'Duamitovirus peex1']",3
104326-147-009,petunia,"['Siphoviridae sp.', 'Duamitovirus peex1']",2
104326-147-010,solanum tuberosum,"['Pahexavirus wizzo', 'Pahexavirus pacnes201215', 'Siphoviridae sp.']",3
104326-148-002,unknown,['Potato mop-top virus'],1
104326-148-003,unknown,['Potato mop-top virus'],1
104326-148-004,unknown,['Potato virus Y'],1
104326-148-006,unknown,['Potato virus Y'],1
104326-148-008,unknown,['Potato virus Y'],1
104326-148-009,unknown,['Potato virus Y'],1
104326-148-010,unknown,"['Potato mop-top virus', 'Tobacco rattle virus', 'Potato virus Y']",3
104326-148-011,unknown,"['Potato mop-top virus', 'Potato virus Y']",2
104326-148-017,unknown,"['Potato mop-top virus', 'Potato virus Y']",2
104326-148-018,unknown,['Potato virus Y'],1
104326-148-019,unknown,"['Tobacco rattle virus', 'Potato virus Y']",2
104326-149-002,ipomoae batatas bellevue,"['Sweet potato badnavirus C', 'Sweet potato symptomless virus 1', 'Erysiphe necator associated ourmia-like virus 21', 'Sweet potato chlorotic stunt virus', 'Sweet potato badnavirus B']",5
104326-149-003,ipomoae batatas bellevue,"['Sweet potato symptomless virus 1', 'Erysiphe necator associated ourmia-like virus 21', 'Sweet potato badnavirus B', 'Sweet potato chlorotic stunt virus']",4
104326-149-004,ipomoae batatas bellevue,"['Sweet potato badnavirus C', 'Sweet potato chlorotic stunt virus', 'Moroccan watermelon mosaic virus', 'Sweet potato badnavirus B']",4
104326-149-005,ipomoae batatas orleans,"['Sweet potato badnavirus C', 'Sweet potato symptomless virus 1', 'Sweet potato badnavirus B']",3
104326-149-007,cucurbita pepo,['Moroccan watermelon mosaic virus'],1
104326-149-009,momordica charanti,['Erysiphe necator associated ourmia-like virus 21'],1
104326-150-002,prunus persica,"['Riboviria sp.', 'Peach mosaic virus', 'Dicistroviridae sp.']",3
104326-150-003,prunus persica,"['PNG bee virus 12', 'Peach mosaic virus', 'Dicistroviridae sp.']",3
104326-150-004,prunus persica,"['Riboviria sp.', 'Beihai horseshoe crab virus 1', 'Dicistroviridae sp.', 'Peach mosaic virus']",4
104326-150-005,prunus persica,"['Dicistroviridae sp.', 'Peach mosaic virus']",2
104326-150-006,prunus serrulata,"['Little cherry virus 2', 'American plum line pattern virus', 'Dicistroviridae sp.', 'Cherry virus A']",4
104326-150-007,prunus serrulata,"['Riboviria sp.', 'Cherry virus A', 'Dicistroviridae sp.', 'American plum line pattern virus', 'Little cherry virus 2']",5
104326-150-008,prunus avium,"['Riboviria sp.', 'Siphoviridae sp.', 'Dicistroviridae sp.', 'Prune dwarf virus', 'American plum line pattern virus', 'Lessievirus bcepmigl', 'Cotoneaster microphyllus picorna-like virus', 'Prunus necrotic ringspot virus', 'Tomato brown rugose fruit virus']",9
104326-150-009,prunus avium,"['American plum line pattern virus', 'Prunus necrotic ringspot virus', 'Prune dwarf virus']",3
104326-150-010,prunus avium,"['Peach chlorotic mottle virus', 'Dicistroviridae sp.', 'Cherry green ring mottle virus', 'Peach mosaic virus', 'Cherry rasp leaf virus', 'Peach latent mosaic viroid']",6
104326-150-011,prunus avium,['Cherry rasp leaf virus'],1
104326-150-012,prunus persica,"['Riboviria sp.', 'Dicistroviridae sp.', 'Lessievirus bcepmigl', 'Peach mosaic virus', 'Cotoneaster microphyllus picorna-like virus', 'Tomato brown rugose fruit virus']",6
104326-150-013,prunus persica,"['Riboviria sp.', 'Siphoviridae sp.', 'Dicistroviridae sp.', 'Beihai horseshoe crab virus 1', 'Peach mosaic virus']",5
104326-150-014,prunus persica,"['PNG bee virus 12', 'Dicistroviridae sp.', 'Peach mosaic virus']",3
104326-150-015,prunus persica,"['Beihai horseshoe crab virus 1', 'Cotoneaster microphyllus picorna-like virus', 'Dicistroviridae sp.', 'Peach mosaic virus']",4
104326-150-016,prunus,['American plum line pattern virus'],1
104326-150-017,prunus,"['American plum line pattern virus', 'Dicistroviridae sp.']",2
104326-150-018,prunus persica,"['Riboviria sp.', 'Peach chlorotic mottle virus', 'Dicistroviridae sp.', 'Cherry green ring mottle virus', 'Beihai horseshoe crab virus 1', 'Peach mosaic virus', 'Cotoneaster microphyllus picorna-like virus', 'Nectarine stem pitting associated virus', 'Peach latent mosaic viroid']",9
104326-150-019,prunus persica,"['Riboviria sp.', 'Peach chlorotic mottle virus', 'Dicistroviridae sp.', 'Cherry green ring mottle virus', 'Peach mosaic virus', 'Cotoneaster microphyllus picorna-like virus', 'Nectarine stem pitting associated virus', 'Peach latent mosaic viroid']",8
104326-150-020,prunus persica,"['Peach mosaic virus', 'Dicistroviridae sp.', 'Peach latent mosaic viroid']",3
104326-150-021,prunus persica,"['Dicistroviridae sp.', 'Peach mosaic virus', 'Peach latent mosaic viroid']",3
104326-150-023,vaccinium,"['Riboviria sp.', 'Cotoneaster microphyllus picorna-like virus', 'Dicistroviridae sp.', 'Nectarine stem pitting associated virus']",4
104326-154-002,solanum lycopersicum,"['Southern tomato virus', 'Tomato spotted wilt orthotospovirus']",2
104326-154-003,capsicum,"['Bell pepper alphaendornavirus', 'Tomato spotted wilt orthotospovirus']",2
104326-154-004,capsicum,['Bell pepper alphaendornavirus'],1
104326-154-006,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-154-007,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-154-008,solanum lycopersicum,"['Pepino mosaic virus', 'Southern tomato virus', 'Tomato brown rugose fruit virus']",3
104326-156-003,solanum lycopersicum,['Pepino mosaic virus'],1
104326-156-004,cucumis sativus,['Cucumber green mottle mosaic virus'],1
104326-156-005,chamaedoria,['Cucumber green mottle mosaic virus'],1
104326-156-006,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-156-007,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-156-008,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-156-009,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-159-005,paeonia,"['Leviviridae sp.', 'Piper DNA virus 2', 'Rice tungro bacilliform virus', 'Strawberry vein banding virus']",4
104326-159-006,paeonia,"['Strawberry vein banding virus', 'Rice tungro bacilliform virus', 'Leviviridae sp.', 'Alfalfa mosaic virus', 'Piper DNA virus 2']",5
104326-159-007,nicotiana occidentalis,"['Alfalfa mosaic virus', 'Duamitovirus peex1']",2
104326-159-008,petunia petchoa,"['Alfalfa mosaic virus', 'Petunia vein clearing virus', 'Duamitovirus peex1']",3
104326-159-010,petchoa callibrachoa,"['Petunia vein clearing virus', 'Podoviridae sp.']",2
104326-159-012,solanum tuberosum,['Podoviridae sp.'],1
104326-162-002,schefflera arboricola,"['Cacao swollen shoot Ghana L virus', 'Ivy ringspot-associated virus', 'Grapevine badnavirus 1']",3
104326-162-003,schefflera arboricola,"['Cacao swollen shoot Ghana L virus', 'Ivy ringspot-associated virus', 'Grapevine badnavirus 1']",3
